Plot,Oil,Year,Month,Treatment,Lizards,plots
1,new,2016,4,C,4,14C1
2,new,2016,4,C,2,14C2
3,new,2016,4,C,2,14C3
4,new,2016,4,C,0,14C4
1,new,2016,4,T,2,14T1
2,new,2016,4,T,8,14T2
3,new,2016,4,T,0,14T3
4,new,2016,4,T,0,14T4
5,old,2016,4,C,0,75C1
6,old,2016,4,C,0,75C2
7,old,2016,4,C,0,75C3
8,old,2016,4,C,0,75C4
5,old,2016,4,T,0,75T1
6,old,2016,4,T,0,75T2
7,old,2016,4,T,0,75T3
8,old,2016,4,T,2,75T4
1,new,2016,5,C,0,14C1
2,new,2016,5,C,0,14C2
3,new,2016,5,C,0,14C3
4,new,2016,5,C,1,14C4
1,new,2016,5,T,0,14T1
2,new,2016,5,T,3,14T2
3,new,2016,5,T,2,14T3
4,new,2016,5,T,0,14T4
5,old,2016,5,C,0,75C1
6,old,2016,5,C,0,75C2
7,old,2016,5,C,2,75C3
8,old,2016,5,C,0,75C4
5,old,2016,5,T,0,75T1
6,old,2016,5,T,0,75T2
7,old,2016,5,T,0,75T3
8,old,2016,5,T,0,75T4
1,new,2016,8,C,3,14C1
2,new,2016,8,C,3,14C2
3,new,2016,8,C,0,14C3
4,new,2016,8,C,0,14C4
1,new,2016,8,T,1,14T1
2,new,2016,8,T,3,14T2
3,new,2016,8,T,0,14T3
4,new,2016,8,T,0,14T4
5,old,2016,8,C,0,75C1
6,old,2016,8,C,2,75C2
7,old,2016,8,C,2,75C3
8,old,2016,8,C,1,75C4
5,old,2016,8,T,0,75T1
6,old,2016,8,T,0,75T2
7,old,2016,8,T,2,75T3
8,old,2016,8,T,2,75T4
1,new,2016,9,C,2,14C1
2,new,2016,9,C,0,14C2
3,new,2016,9,C,0,14C3
4,new,2016,9,C,14,14C4
1,new,2016,9,T,0,14T1
2,new,2016,9,T,1,14T2
3,new,2016,9,T,3,14T3
4,new,2016,9,T,0,14T4
5,old,2016,9,C,0,75C1
6,old,2016,9,C,0,75C2
7,old,2016,9,C,1,75C3
8,old,2016,9,C,0,75C4
5,old,2016,9,T,0,75T1
6,old,2016,9,T,0,75T2
7,old,2016,9,T,0,75T3
8,old,2016,9,T,2,75T4
1,new,2017,4,C,1,14C1
2,new,2017,4,C,2,14C2
3,new,2017,4,C,8,14C3
4,new,2017,4,C,2,14C4
1,new,2017,4,T,1,14T1
2,new,2017,4,T,2,14T2
3,new,2017,4,T,6,14T3
4,new,2017,4,T,1,14T4
5,old,2017,4,C,0,75C1
6,old,2017,4,C,0,75C2
7,old,2017,4,C,0,75C3
8,old,2017,4,C,0,75C4
5,old,2017,4,T,0,75T1
6,old,2017,4,T,0,75T2
7,old,2017,4,T,1,75T3
8,old,2017,4,T,0,75T4
1,new,2017,5,C,1,14C1
2,new,2017,5,C,6,14C2
3,new,2017,5,C,2,14C3
4,new,2017,5,C,3,14C4
1,new,2017,5,T,4,14T1
2,new,2017,5,T,1,14T2
3,new,2017,5,T,2,14T3
4,new,2017,5,T,2,14T4
5,old,2017,5,C,0,75C1
6,old,2017,5,C,0,75C2
7,old,2017,5,C,0,75C3
8,old,2017,5,C,1,75C4
5,old,2017,5,T,0,75T1
6,old,2017,5,T,0,75T2
7,old,2017,5,T,1,75T3
8,old,2017,5,T,0,75T4
1,new,2017,8,C,2,14C1
2,new,2017,8,C,4,14C2
3,new,2017,8,C,1,14C3
4,new,2017,8,C,4,14C4
1,new,2017,8,T,1,14T1
2,new,2017,8,T,1,14T2
3,new,2017,8,T,7,14T3
4,new,2017,8,T,2,14T4
5,old,2017,8,C,0,75C1
6,old,2017,8,C,1,75C2
7,old,2017,8,C,0,75C3
8,old,2017,8,C,1,75C4
5,old,2017,8,T,0,75T1
6,old,2017,8,T,0,75T2
7,old,2017,8,T,1,75T3
8,old,2017,8,T,1,75T4
1,new,2017,9,C,6,14C1
2,new,2017,9,C,6,14C2
3,new,2017,9,C,4,14C3
4,new,2017,9,C,2,14C4
1,new,2017,9,T,0,14T1
2,new,2017,9,T,6,14T2
3,new,2017,9,T,6,14T3
4,new,2017,9,T,2,14T4
5,old,2017,9,C,0,75C1
6,old,2017,9,C,0,75C2
7,old,2017,9,C,0,75C3
8,old,2017,9,C,0,75C4
5,old,2017,9,T,0,75T1
6,old,2017,9,T,0,75T2
7,old,2017,9,T,0,75T3
8,old,2017,9,T,0,75T4
1,new,2018,4,C,6,14C1
2,new,2018,4,C,0,14C2
3,new,2018,4,C,12,14C3
4,new,2018,4,C,3,14C4
1,new,2018,4,T,6,14T1
2,new,2018,4,T,3,14T2
3,new,2018,4,T,8,14T3
4,new,2018,4,T,3,14T4
5,old,2018,4,C,0,75C1
6,old,2018,4,C,0,75C2
7,old,2018,4,C,0,75C3
8,old,2018,4,C,2,75C4
5,old,2018,4,T,0,75T1
6,old,2018,4,T,0,75T2
7,old,2018,4,T,0,75T3
8,old,2018,4,T,6,75T4
1,new,2018,5,C,3,14C1
2,new,2018,5,C,1,14C2
3,new,2018,5,C,0,14C3
4,new,2018,5,C,0,14C4
1,new,2018,5,T,2,14T1
2,new,2018,5,T,1,14T2
3,new,2018,5,T,0,14T3
4,new,2018,5,T,0,14T4
5,old,2018,5,C,0,75C1
6,old,2018,5,C,0,75C2
7,old,2018,5,C,0,75C3
8,old,2018,5,C,0,75C4
5,old,2018,5,T,0,75T1
6,old,2018,5,T,0,75T2
7,old,2018,5,T,0,75T3
8,old,2018,5,T,0,75T4
1,new,2018,8,C,6,14C1
2,new,2018,8,C,0,14C2
3,new,2018,8,C,4,14C3
4,new,2018,8,C,14,14C4
1,new,2018,8,T,2,14T1
2,new,2018,8,T,4,14T2
3,new,2018,8,T,6,14T3
4,new,2018,8,T,4,14T4
5,old,2018,8,C,0,75C1
6,old,2018,8,C,0,75C2
7,old,2018,8,C,0,75C3
8,old,2018,8,C,0,75C4
5,old,2018,8,T,0,75T1
6,old,2018,8,T,0,75T2
7,old,2018,8,T,0,75T3
8,old,2018,8,T,0,75T4
1,new,2018,9,C,6,14C1
2,new,2018,9,C,12,14C2
3,new,2018,9,C,5,14C3
4,new,2018,9,C,6,14C4
1,new,2018,9,T,1,14T1
2,new,2018,9,T,1,14T2
3,new,2018,9,T,4,14T3
4,new,2018,9,T,1,14T4
5,old,2018,9,C,0,75C1
6,old,2018,9,C,0,75C2
7,old,2018,9,C,0,75C3
8,old,2018,9,C,0,75C4
5,old,2018,9,T,0,75T1
6,old,2018,9,T,0,75T2
7,old,2018,9,T,0,75T3
8,old,2018,9,T,2,75T4
